ID,city,feels_like.day,rain,rank
borme,bormes-mimosas,302.16375,0,1
marse,marseille,301.53499999999997,0,2
cassi,cassis,300.9675,0,3
avign,avignon,304.29875,1,4
aigue,aigues-mortes,301.785,1,5
amien,amiens,299.885,1,6
nimes,nimes,303.41999999999996,2,7
aix-p,aix-provence,302.46,2,8
stras,strasbourg,302.1925,2,9
besan,besancon,300.92375,2,10
paris,paris,300.78125,2,11
saint,saintes-maries,300.69124999999997,2,12
lille,lille,300.10125,2,13
rouen,rouen,299.9375,2,14
le-ha,le-havre,295.87624999999997,2,15
la-ro,la-rochelle,295.84375,2,16
greno,grenoble,303.005,3,17
uzes,uzes,302.67875,3,18
colma,colmar,301.355,3,19
eguis,eguisheim,301.3425,3,20
dijon,dijon,301.02375,3,21
annec,annecy,300.64,3,22
verdo,verdon-gorge,300.43375000000003,3,23
chate,chateau-haut-koenigsbourg,298.3875,3,24
bayeu,bayeux,298.24125,3,25
carca,carcassonne,302.43375000000003,4,26
toulo,toulouse,301.475,4,27
lyon,lyon,300.94625,4,28
mont-,mont-saint-michel,296.66625,4,29
colli,collioure,302.5375,5,30
monta,montauban,300.7625,5,31
st-ma,st-malo,294.8325,5,32
biarr,biarritz,296.79,6,33
arieg,ariege,294.65125,6,34
bayon,bayonne,297.6975,7,35
